pt_code,brand,mfg_code,name,series,famiglia_catalogo,current_btu,proposed_btu,current_kw,catalog_kw,model_capacity_class,issue_type,evidence,confidence,auto_correctable
50129416,ARISTON,3319669,HP SPLIT KIT BARRETTE (TUBI FUORI MURO),ARISTON SERIE COMMERCIALE,ARISTON SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50129416"",""model"":""HP SPLIT KIT BARRETTE (TUBI FUORI MURO)"",""mpn"":""3319669"",""catalog_family"":""HP SPLIT KIT BARRETTE (TUBI FUORI MURO)"",""page"":688,""confidence"":1.0}]",0.9,False
50129430,ARISTON,3319668,HP SPLIT KIT BARRETTE (TUBI NEL MURO),ARISTON SERIE COMMERCIALE,ARISTON SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50129430"",""model"":""HP SPLIT KIT BARRETTE (TUBI NEL MURO)"",""mpn"":""3319668"",""catalog_family"":""HP SPLIT KIT BARRETTE (TUBI NEL MURO)"",""page"":688,""confidence"":1.0}]",0.9,False
99813437,IDEAL CLIMA,THM10A,IDROSPLIT FALKO HI-WALL 1000 HW INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,[],0.65,False
99813444,IDEAL CLIMA,THM03A,IDROSPLIT FALKO HI-WALL 350 HW INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99813444"",""model"":""350"",""mpn"":""THM03A"",""catalog_family"":""IDROSPLIT FALKO HI-WALL HW INVERTER SENZA SONDA DI MINIMA *"",""page"":378,""confidence"":1.0}]",0.9,False
99813451,IDEAL CLIMA,THM05A,IDROSPLIT FALKO HI-WALL 500 HW INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99813451"",""model"":""500"",""mpn"":""THM05A"",""catalog_family"":""IDROSPLIT FALKO HI-WALL HW INVERTER SENZA SONDA DI MINIMA *"",""page"":378,""confidence"":1.0}]",0.9,False
99813468,IDEAL CLIMA,THM07A,IDROSPLIT FALKO HI-WALL 700 HW INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99813468"",""model"":""700"",""mpn"":""THM07A"",""catalog_family"":""IDROSPLIT FALKO HI-WALL HW INVERTER SENZA SONDA DI MINIMA *"",""page"":378,""confidence"":1.0}]",0.9,False
99813475,IDEAL CLIMA,THM08A,IDROSPLIT FALKO HI-WALL 850 HW INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99813475"",""model"":""850"",""mpn"":""THM08A"",""catalog_family"":""IDROSPLIT FALKO HI-WALL HW INVERTER SENZA SONDA DI MINIMA *"",""page"":378,""confidence"":1.0}]",0.9,False
50466870,IDEAL CLIMA,THMB10A,IDROSPLIT FALKO WHITE 1050 MY 26 INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50466870"",""model"":""1000"",""mpn"":""THMB10A"",""catalog_family"":""IDROSPLIT FALKO WHITE INVERTER"",""page"":378,""confidence"":1.0}]",0.9,False
50466832,IDEAL CLIMA,THMB03A,IDROSPLIT FALKO WHITE 350 MY 26 INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50466832"",""model"":""350"",""mpn"":""THMB03A"",""catalog_family"":""IDROSPLIT FALKO WHITE INVERTER"",""page"":378,""confidence"":1.0}]",0.9,False
50466849,IDEAL CLIMA,THMB05A,IDROSPLIT FALKO WHITE 500 MY 26 INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50466849"",""model"":""500"",""mpn"":""THMB05A"",""catalog_family"":""IDROSPLIT FALKO WHITE INVERTER"",""page"":378,""confidence"":1.0}]",0.9,False
50466856,IDEAL CLIMA,THMB07A,IDROSPLIT FALKO WHITE 700 MY 26 INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50466856"",""model"":""700"",""mpn"":""THMB07A"",""catalog_family"":""IDROSPLIT FALKO WHITE INVERTER"",""page"":378,""confidence"":1.0}]",0.9,False
50466863,IDEAL CLIMA,THMB08A,IDROSPLIT FALKO WHITE 850 MY 26 INV,IDEAL CLIMA SERIE COMMERCIALE,IDEAL CLIMA SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50466863"",""model"":""850"",""mpn"":""THMB08A"",""catalog_family"":""IDROSPLIT FALKO WHITE INVERTER"",""page"":378,""confidence"":1.0}]",0.9,False
50227303,STEELPUMPS,SP04777778,MINIPOMPA X CONDENSA UNDERSPLIT 10,STEELPUMPS SERIE COMMERCIALE,STEELPUMPS SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50227303"",""model"":""MINIPOMPA X CONDENSA UNDERSPLIT 10"",""mpn"":""SP04777778"",""catalog_family"":""MINIPOMPA PER CONDENSA UNDERSPLIT 10"",""page"":636,""confidence"":1.0}]",0.9,False
50227327,STEELPUMPS,SP04772222,NEBULIZZATORE DI CONDENSA SPLIT CLOUD,STEELPUMPS SERIE COMMERCIALE,STEELPUMPS SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50227327"",""model"":""NEBULIZZATORE DI CONDENSA SPLIT CLOUD"",""mpn"":""SP04772222"",""catalog_family"":""NEBULIZZATORE DI CONDENSA CLOUD"",""page"":636,""confidence"":1.0}]",0.9,False
50067596,HSD,0010039938,SCHEDA WIFI CLIMATIZZATORI UI SDH19/20-I,VIVAIR TOP,VIVAIR TOP,7000,7000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50067596"",""model"":""OPTIONAL"",""mpn"":""0010039938"",""catalog_family"":""VIVAIR ONE"",""page"":615,""confidence"":1.0}]",0.9,False
50129478,ARISTON,3319661,SPLIT FS KIT R-L-UP,ARISTON SERIE COMMERCIALE,ARISTON SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50129478"",""model"":""SPLIT FS KIT R-L-UP"",""mpn"":""3319661"",""catalog_family"":""SPLIT FS KIT R, L, UP"",""page"":688,""confidence"":1.0}]",0.9,False
99831400,WIGAM,13005063,TELO LAVAGGIO UI A PARETE EVA-SPLIT,WIGAM SERIE COMMERCIALE,WIGAM SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99831400"",""model"":""EVA-SPLIT"",""mpn"":""13005063"",""catalog_family"":""TELO LAVAGGIO PER UNITÀ INTERNE DI CLIMATIZZAZIONE A PARETE"",""page"":1494,""confidence"":1.0}]",0.9,False
50050192,FANTINI COSMI,AP6582,TERMOVENTILATORE DA PARETE TEPORSPLIT,FANTINI COSMI SERIE COMMERCIALE,FANTINI COSMI SERIE COMMERCIALE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50050192"",""model"":""TERMOVENTILATORE DA PARETE TEPORSPLIT"",""mpn"":""AP6582"",""catalog_family"":""TERMOVENTILATORE DA PARETE TEPORSPLIT"",""page"":85,""confidence"":1.0}]",0.9,False
50368716,HISENSE,AUF140UR4RMPA8,UI A COLONNA 140 AUF140UR4RMPA8,COMMERCIALE HISENSE (TURBO / CASSETTA / CANALIZZATO / COLONNA),COMMERCIALE HISENSE (TURBO / CASSETTA / CANALIZZATO / COLONNA),48000,48000,,,140,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50368716"",""model"":""U.I. AUF140UR4RMPA8"",""mpn"":""AUF140UR4RMPA8"",""catalog_family"":""COLONNA"",""page"":552,""confidence"":1.0},{""source"":""same_brand_series_class_consensus"",""brand"":""HISENSE"",""serie"":""COMMERCIALE HISENSE (TURBO / CASSETTA / CANALIZZATO / COLONNA)"",""model_capacity_class"":140,""distribution"":{""48000"":2},""mode"":48000,""mode_ratio"":1.0},{""source"":""same_model_family_catalog_peers"",""peers"":[{""pt_code"":""50199075"",""name"":""UI COMM PAV/SOFF 140 AUV140UR4RC8"",""current_btu"":48000,""current_kw"":null,""catalog_model"":""U.I. AUV140UR4RC8"",""catalog_page"":552}]},{""source"":""manual_validation_after_audit"",""pt_code"":""50368716"",""confirmed_btu"":48000}]",1.0,False
50462872,HITACHI,RAK-CJ25PHAE,UI AIRHOME 200 RAK-CJ25PHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,60000,60000,,,,OK,[],0.65,False
50462889,HITACHI,RAK-CJ35PHAE,UI AIRHOME 200 RAK-CJ35PHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,60000,60000,,,,OK,[],0.65,False
50462896,HITACHI,RAK-CJ50PHAE,UI AIRHOME 200 RAK-CJ50PHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,60000,60000,,,,OK,[],0.65,False
50294190,HITACHI,RAK-DJ18RHAE,UI AIRHOME 400 PAR RAK-DJ18RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,9000,9000,,,,OK,[],0.65,False
50293773,HITACHI,RAK-DJ25RHAE,UI AIRHOME 400 PAR RAK-DJ25RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,9000,9000,,,,OK,[],0.65,False
50293810,HITACHI,RAK-DJ35RHAE,UI AIRHOME 400 PAR RAK-DJ35RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,12000,12000,,,,OK,[],0.65,False
50293827,HITACHI,RAK-DJ50RHAE,UI AIRHOME 400 PAR RAK-DJ50RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,18000,18000,,,,OK,[],0.65,False
50293834,HITACHI,RAK-DJ60RHAE,UI AIRHOME 400 PAR RAK-DJ60RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,21000,21000,,,,OK,[],0.65,False
50293841,HITACHI,RAK-DJ70RHAE,UI AIRHOME 400 PAR RAK-DJ70RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,24000,24000,,,,OK,[],0.65,False
50294138,HITACHI,RAK-VJ15QHAE,UI AIRHOME 600 PAR RAK-VJ15QHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,9000,9000,,,,OK,[],0.65,False
50294145,HITACHI,RAK-VJ18RHAE,UI AIRHOME 600 PAR RAK-VJ18RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,9000,9000,,,,OK,[],0.65,False
50288656,HITACHI,RAK-VJ25RHAE,UI AIRHOME 600 PAR RAK-VJ25RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,9000,9000,,,,OK,[],0.65,False
50288687,HITACHI,RAK-VJ35RHAE,UI AIRHOME 600 PAR RAK-VJ35RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,12000,12000,,,,OK,[],0.65,False
50288700,HITACHI,RAK-VJ42RHAE,UI AIRHOME 600 PAR RAK-VJ42RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,15000,15000,,,,OK,[],0.65,False
50288717,HITACHI,RAK-VJ50RHAE,UI AIRHOME 600 PAR RAK-VJ50RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,18000,18000,,,,OK,[],0.65,False
50288731,HITACHI,RAK-VJ60RHAE,UI AIRHOME 600 PAR RAK-VJ60RHAE,AIRHOME 400 / 600,AIRHOME 400 / 600,21000,21000,,,,OK,[],0.65,False
