pt_code,brand,model,page,table_id,current_family,current_family_key,audit_issue_type,final_verdict,correct_family,correct_family_key,primary_context_action,alternate_contexts_to_keep,confidence,layout_evidence,reason,safe_to_apply
50001989,FERROLI,VM150,337,PDF_P0337_BCA22BE77F,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.36, 103.893, 133.867, 114.376] pagina=337; modello 'VM150' bbox=[138.48, 105.035, 195.198, 113.389]; titolo 'JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 253.518, 77.268]; gap verticale=31.9, orizzontale=58.4","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50001996,FERROLI,VM250,337,PDF_P0337_BCA22BE77F,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.36, 112.893, 133.867, 123.376] pagina=337; modello 'VM250' bbox=[138.48, 114.035, 195.198, 122.389]; titolo 'JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 253.518, 77.268]; gap verticale=40.9, orizzontale=58.4","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002054,FERROLI,VM350,337,PDF_P0337_BCA22BE77F,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.36, 121.893, 133.867, 132.376] pagina=337; modello 'VM350' bbox=[138.48, 123.035, 195.198, 131.389]; titolo 'JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 253.518, 77.268]; gap verticale=49.9, orizzontale=58.4","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002078,FERROLI,VM500,337,PDF_P0337_BCA22BE77F,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.358, 130.894, 133.865, 141.378] pagina=337; modello 'VM500' bbox=[138.48, 132.035, 195.198, 140.389]; titolo 'JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 253.518, 77.268]; gap verticale=58.9, orizzontale=58.4","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002092,FERROLI,VM700,337,PDF_P0337_BCA22BE77F,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_I_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.36, 139.893, 133.867, 150.376] pagina=337; modello 'VM700' bbox=[138.48, 141.035, 195.198, 149.389]; titolo 'JOLLY TOP I CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 253.518, 77.268]; gap verticale=67.9, orizzontale=58.4","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002108,FERROLI,VN150,337,PDF_P0337_9CE0D45CCC,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,keep_primary,[],0.99,"PT bbox=[99.363, 211.894, 133.87, 222.378] pagina=337; modello 'VN150' bbox=[138.48, 213.035, 194.474, 221.389]; titolo 'JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *' bbox=[96.602, 176.435, 267.288, 185.27]; gap verticale=31.9, orizzontale=65.3","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002160,FERROLI,VN250,337,PDF_P0337_9CE0D45CCC,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,keep_primary,[],0.99,"PT bbox=[99.36, 220.893, 133.867, 231.376] pagina=337; modello 'VN250' bbox=[138.48, 222.035, 194.474, 230.389]; titolo 'JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *' bbox=[96.602, 176.435, 267.288, 185.27]; gap verticale=40.9, orizzontale=65.3","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002177,FERROLI,VN350,337,PDF_P0337_9CE0D45CCC,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,keep_primary,[],0.99,"PT bbox=[99.36, 229.893, 133.867, 240.376] pagina=337; modello 'VN350' bbox=[138.48, 231.035, 194.474, 239.389]; titolo 'JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *' bbox=[96.602, 176.435, 267.288, 185.27]; gap verticale=49.9, orizzontale=65.3","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002184,FERROLI,VN500,337,PDF_P0337_9CE0D45CCC,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,keep_primary,[],0.99,"PT bbox=[99.36, 238.892, 133.867, 249.376] pagina=337; modello 'VN500' bbox=[138.48, 240.035, 194.474, 248.389]; titolo 'JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *' bbox=[96.602, 176.435, 267.288, 185.27]; gap verticale=58.9, orizzontale=65.3","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002191,FERROLI,VN700,337,PDF_P0337_9CE0D45CCC,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_I_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,keep_primary,[],0.99,"PT bbox=[99.358, 247.894, 133.865, 258.378] pagina=337; modello 'VN700' bbox=[138.48, 249.035, 194.474, 257.389]; titolo 'JOLLY TOP I SENZA MANTELLO PER APPLICAZIONI AD INCASSO *' bbox=[96.602, 176.435, 267.288, 185.27]; gap verticale=67.9, orizzontale=65.3","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002238,FERROLI,VM150,336,PDF_P0336_8B3AA3594B,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.36, 103.893, 133.867, 114.376] pagina=336; modello 'VM150' bbox=[138.48, 105.035, 195.198, 113.389]; titolo 'JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 258.891, 77.268]; gap verticale=31.9, orizzontale=61.1","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002245,FERROLI,VM250,336,PDF_P0336_8B3AA3594B,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.36, 112.893, 133.867, 123.376] pagina=336; modello 'VM250' bbox=[138.48, 114.035, 195.198, 122.389]; titolo 'JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 258.891, 77.268]; gap verticale=40.9, orizzontale=61.1","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002252,FERROLI,VM350,336,PDF_P0336_8B3AA3594B,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.36, 121.893, 133.867, 132.376] pagina=336; modello 'VM350' bbox=[138.48, 123.035, 195.198, 131.389]; titolo 'JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 258.891, 77.268]; gap verticale=49.9, orizzontale=61.1","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002269,FERROLI,VM500,336,PDF_P0336_8B3AA3594B,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.36, 130.893, 133.867, 141.376] pagina=336; modello 'VM500' bbox=[138.48, 132.035, 195.198, 140.389]; titolo 'JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 258.891, 77.268]; gap verticale=58.9, orizzontale=61.1","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002276,FERROLI,VM700,336,PDF_P0336_8B3AA3594B,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *,FERROLI_JOLLY_TOP_3V_CON_MANTELLO_AD_ASPIRAZIONE_DAL_BASSO,keep_primary,[],0.99,"PT bbox=[99.358, 139.894, 133.865, 150.378] pagina=336; modello 'VM700' bbox=[138.48, 141.035, 195.162, 149.389]; titolo 'JOLLY TOP 3V CON MANTELLO AD ASPIRAZIONE DAL BASSO *' bbox=[96.6, 68.433, 258.891, 77.268]; gap verticale=67.9, orizzontale=61.1","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
50002283,FERROLI,VN150,336,PDF_P0336_71107FF20F,JOLLY TOP 3V SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_3V_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,CONFLICTING_CONTEXTS,CORRECT,JOLLY TOP 3V SENZA MANTELLO PER APPLICAZIONI AD INCASSO *,FERROLI_JOLLY_TOP_3V_SENZA_MANTELLO_PER_APPLICAZIONI_AD_INCASSO,keep_primary,[],0.99,"PT bbox=[99.36, 193.893, 133.867, 204.376] pagina=336; modello 'VN150' bbox=[138.48, 195.035, 194.474, 203.389]; titolo 'JOLLY TOP 3V SENZA MANTELLO PER APPLICAZIONI AD INCASSO *' bbox=[96.6, 158.433, 272.682, 167.268]; gap verticale=31.9, orizzontale=68.0","PT, modello e heading della family corrente coincidono nello stesso blocco geometrico.",False
